Fecha,Precipitacion,Temperatura,Caudal_Real,Inercia_3meses,Mes,Caudal_IA
1989-04-01,28.86333333333333,23.27333333333333,,38.79777777777777,4,25.76583333333333
1989-05-01,62.91333333333333,23.896666666666665,,45.61777777777777,5,37.30833333333333
1989-06-01,38.406666666666666,24.789999999999996,,43.394444444444424,6,24.49416666666667
1989-07-01,42.23666666666667,25.403333333333336,,47.8522222222222,7,32.87250000000002
1989-08-01,56.21333333333333,25.709999999999997,,45.618888888888875,8,32.21083333333333
1989-09-01,60.82333333333333,25.36,,53.0911111111111,9,32.040000000000006
1989-10-01,44.446666666666665,24.80666666666666,,53.82777777777776,10,34.4975
1989-11-01,21.676666666666666,24.23,,42.31555555555554,11,26.931666666666665
1989-12-01,25.30666666666667,23.293333333333333,,30.47666666666665,12,20.917500000000004
1990-01-01,23.323333333333334,22.59,,23.435555555555542,1,21.87249999999999
1990-02-01,21.110000000000003,22.496666666666666,,23.246666666666655,2,25.3225
1990-03-01,28.906666666666666,22.790000000000003,,24.446666666666655,3,23.65666666666666
1990-04-01,39.46666666666667,23.73333333333333,,29.827777777777765,4,21.484166666666656
1990-05-01,33.39333333333334,25.093333333333334,,33.92222222222221,5,17.431666666666658
1990-06-01,69.71666666666665,25.23,,47.52555555555554,6,45.11333333333333
1990-07-01,46.52666666666667,25.563333333333333,,49.87888888888887,7,37.59750000000001
1990-08-01,42.94333333333333,26.013333333333335,,53.0622222222222,8,34.216666666666676
1990-09-01,42.800000000000004,25.823333333333334,,44.089999999999996,9,27.16583333333334
1990-10-01,145.55666666666664,24.66,,77.09999999999998,10,132.46666666666667
1990-11-01,68.45666666666666,23.679999999999996,,85.60444444444443,11,126.6258333333333
1990-12-01,26.48333333333333,22.366666666666664,,80.16555555555554,12,75.78416666666668
1991-01-01,15.926666666666668,22.393333333333334,,36.95555555555554,1,39.38750000000002
1991-02-01,29.850000000000005,22.83666666666667,,24.08666666666666,2,22.65166666666666
1991-03-01,20.533333333333335,23.25333333333333,,22.103333333333325,3,10.415
1991-04-01,42.49,23.516666666666666,,30.957777777777775,4,22.43583333333334
1991-05-01,58.24999999999999,24.273333333333337,,40.42444444444444,5,26.38833333333334
1991-06-01,38.68,25.48,,46.47333333333332,6,31.981666666666673
1991-07-01,31.203333333333333,25.87,,42.7111111111111,7,27.104166666666664
1991-08-01,44.82333333333333,25.860000000000003,,38.23555555555554,8,26.48916666666667
1991-09-01,62.666666666666664,25.53,,46.2311111111111,9,32.79750000000001
1991-10-01,46.45666666666667,24.653333333333336,,51.31555555555554,10,36.94500000000001
1991-11-01,34.38,23.74666666666667,,47.83444444444444,11,30.917500000000004
1991-12-01,18.69,22.27,,33.17555555555555,12,38.66083333333335
1992-01-01,29.05333333333333,22.51666666666667,,27.374444444444435,1,35.0925
1992-02-01,23.45,22.933333333333334,,23.7311111111111,2,16.095833333333328
1992-03-01,31.583333333333332,23.669999999999998,,28.028888888888883,3,21.45333333333333
1992-04-01,93.69,23.776666666666667,,49.57444444444443,4,59.10333333333331
1992-05-01,151.48999999999998,23.613333333333333,,92.25444444444442,5,149.14583333333331
1992-06-01,51.23,25.113333333333333,,98.80333333333333,6,87.11500000000002
1992-07-01,32.23,25.429999999999996,,78.31666666666666,7,37.254999999999995
1992-08-01,39.31666666666666,25.44,,40.92555555555554,8,25.950833333333332
